Income,Education,Marital_Status,Kids,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases,TotalSpend,Response,NumWebVisitsMonth,Segment,RFM_Score
79529.0,Graduation,Married,0,4,8,9,1,1638,0,2,Champions,15
34578.0,PhD,Together,3,1,0,2,1,8,0,6,Potential,7
46374.0,PhD,Married,1,7,1,7,3,446,1,8,Loyal,11
18351.0,Graduation,Married,0,2,0,3,1,43,0,7,Potential,7
95169.0,PhD,Single,0,4,3,4,1,1901,1,1,Champions,13
65370.0,2n Cycle,Married,0,2,3,13,1,461,0,1,Loyal,12
39228.0,Master,Divorced,0,0,0,3,1,20,0,4,Potential,7
84865.0,PhD,Single,0,2,4,9,1,1688,1,4,Champions,13
61314.0,Graduation,Married,1,5,5,12,2,1008,0,3,Champions,14
21359.0,Graduation,Single,1,2,0,3,2,48,1,8,Potential,7
66465.0,PhD,Married,1,11,9,12,3,1485,0,6,Champions,15
81698.0,2n Cycle,Single,0,8,2,5,1,1104,1,5,Loyal,12
39146.0,Graduation,Single,1,4,0,4,3,165,0,8,Potential,9
25959.0,2n Cycle,Divorced,2,1,2,2,2,56,1,6,Potential,8
64260.0,Graduation,Together,0,4,5,4,1,1574,1,3,Champions,13
32300.0,Graduation,Married,1,1,0,3,1,39,0,8,Potential,7
74806.0,Master,Married,1,5,4,5,2,965,0,4,Loyal,12
72967.0,Graduation,Divorced,1,7,2,8,2,497,1,5,Loyal,12
48904.0,Graduation,Single,1,7,2,4,4,371,0,8,Loyal,11
14796.0,2n Cycle,Married,1,1,0,3,2,51,1,9,Potential,7
66991.0,Master,Married,0,4,8,6,3,1253,0,3,Champions,14
52195.0,2n Cycle,Single,3,1,0,2,1,17,0,8,Potential,7
90369.0,Graduation,Married,0,4,6,6,1,1588,1,1,Champions,14
18393.0,Basic,Married,1,3,0,3,2,50,0,8,Potential,8
47139.0,Graduation,Single,2,2,1,2,2,83,1,7,Potential,8
38576.0,Master,Married,1,1,0,3,1,41,0,7,Potential,7
61905.0,PhD,Together,1,4,2,4,2,231,0,5,Loyal,11
83715.0,Graduation,Married,0,2,8,13,1,926,0,0,Champions,14
60597.0,Graduation,Married,1,2,2,8,4,893,1,7,Loyal,12
6560.0,Master,Single,0,1,0,1,0,373,0,17,Potential,9
48330.0,Master,Together,1,1,0,3,1,32,0,5,Potential,7
38236.0,PhD,Single,2,3,0,4,4,88,0,7,Potential,9
22701.0,Master,Married,1,1,0,3,1,24,0,5,Potential,7
53367.0,Master,Divorced,2,5,1,8,7,400,1,7,Loyal,11
34728.0,Graduation,Together,1,1,1,2,1,36,1,6,Potential,7
63915.0,Master,Married,2,6,3,12,2,789,0,5,Champions,14
82504.0,2n Cycle,Married,0,3,6,7,1,1066,0,1,Champions,13
38578.0,PhD,Single,2,3,0,3,3,73,1,8,Potential,9
38578.0,PhD,Single,2,3,0,3,3,73,0,8,Potential,9
79174.0,PhD,Married,0,5,6,7,1,2043,1,2,Champions,14
81975.0,2n Cycle,Divorced,1,6,3,4,1,1588,0,7,Champions,13
43263.0,Master,Married,1,5,2,6,3,441,0,5,Loyal,11
27242.0,Graduation,Single,1,2,0,3,2,106,1,9,Potential,8
76445.0,Graduation,Married,1,2,5,13,1,1410,0,6,Champions,14
75276.0,Graduation,Together,0,9,4,9,1,1040,0,5,Champions,14
34213.0,Graduation,Widow,2,3,1,2,3,117,1,9,Potential,9
72335.0,PhD,Together,0,10,4,8,1,2092,1,8,Champions,15
79143.0,Master,Married,0,6,9,13,1,1693,0,3,Champions,15
27469.0,Graduation,Married,0,0,0,3,1,17,0,6,Potential,7
68695.0,Graduation,Together,0,4,4,7,1,1091,0,2,Loyal,12
68695.0,Graduation,Together,0,4,4,7,1,1091,0,2,Loyal,12
50388.0,Graduation,Single,1,6,1,6,4,372,1,7,Loyal,11
77622.0,PhD,Together,2,6,3,11,2,714,0,3,Champions,13
46102.0,Graduation,Divorced,3,1,0,2,1,16,0,7,Potential,7
31859.0,2n Cycle,Single,1,1,0,3,1,48,0,7,Potential,7
23830.0,2n Cycle,Single,0,1,0,3,1,43,0,7,Potential,7
24639.0,Graduation,Married,2,2,0,4,3,44,0,6,Potential,8
71604.0,PhD,Together,0,8,3,5,1,1196,1,4,Champions,14
27255.0,Graduation,Married,1,1,0,3,1,37,0,7,Potential,7
55375.0,Graduation,Together,1,1,1,6,1,162,0,2,Potential,9
77037.0,PhD,Married,1,7,7,12,1,1123,0,3,Champions,14
24163.0,Graduation,Single,2,1,0,3,2,17,0,4,Potential,7
69476.0,PhD,Together,0,4,6,4,1,1044,0,2,Loyal,12
72063.0,Graduation,Married,1,5,2,12,2,758,0,2,Champions,13
58646.0,Master,Married,1,2,1,4,1,140,0,4,Potential,9
58646.0,Master,Married,1,2,1,4,1,140,0,4,Potential,9
47570.0,Master,Widow,2,2,2,2,3,121,1,7,Potential,9
80011.0,Graduation,Married,1,8,6,5,2,1395,0,4,Champions,14
54998.0,PhD,Single,1,4,2,9,5,455,1,4,Loyal,11
60200.0,PhD,Single,1,6,2,11,6,685,0,6,Champions,13
63211.0,Graduation,Married,0,3,8,7,2,1173,1,2,Champions,13
48432.0,PhD,Single,1,7,1,6,5,424,1,8,Loyal,11
48432.0,PhD,YOLO,1,7,1,6,5,424,0,8,Loyal,11
48432.0,PhD,YOLO,1,7,1,6,5,424,1,8,Loyal,11
62845.0,Master,Married,2,3,4,10,11,1178,0,8,Champions,14
62845.0,Master,Married,2,3,4,10,11,1178,1,8,Champions,14
65220.0,PhD,Together,0,8,4,7,4,1282,1,6,Champions,14
74214.0,PhD,Married,0,8,2,5,1,1711,0,5,Champions,13
96547.0,2n Cycle,Married,0,7,6,8,0,809,1,2,Champions,14
53863.0,Graduation,Together,1,7,1,7,3,473,0,7,Loyal,11
50447.0,Graduation,Married,2,3,1,3,1,148,0,6,Potential,9
37716.0,Graduation,Married,1,4,1,3,2,188,0,7,Potential,9
45203.0,Graduation,Together,2,3,1,3,1,147,1,6,Potential,9
37368.0,Master,Married,1,1,0,2,1,30,0,6,Potential,7
67225.0,Graduation,Married,1,7,2,11,3,868,0,5,Champions,13
65104.0,Master,Together,1,3,5,7,2,1053,1,7,Loyal,12
65104.0,Master,Together,1,3,5,7,2,1053,0,7,Loyal,12
81698.0,Master,Married,0,3,8,13,1,1008,1,1,Champions,14
70566.0,Graduation,Single,1,6,5,9,2,757,0,3,Champions,13
69096.0,Graduation,Together,1,5,2,10,1,653,0,4,Champions,13
71434.0,Graduation,Married,1,7,4,7,3,1400,0,4,Champions,14
33039.0,Graduation,Married,1,2,0,4,1,78,0,5,Potential,9
33039.0,Graduation,Married,1,2,0,4,1,78,0,5,Potential,9
46610.0,Graduation,Together,0,6,1,6,1,467,0,6,Loyal,11
49967.0,Graduation,Single,1,6,1,5,3,306,0,7,Loyal,11
53359.0,Graduation,Married,2,5,1,4,4,257,0,7,Loyal,11
49505.0,Master,Married,2,10,2,8,9,751,0,8,Champions,13
68657.0,Master,Married,0,3,5,9,1,1196,0,7,Champions,14
72071.0,Graduation,Divorced,1,5,4,8,3,1338,0,2,Champions,14
72071.0,Graduation,Divorced,1,5,4,8,3,1338,0,2,Champions,14
59235.0,Master,Single,1,11,2,12,3,1128,0,7,Champions,14
21994.0,Graduation,Together,1,0,0,3,1,22,0,5,Potential,7
21994.0,Graduation,Together,1,0,0,3,1,22,0,5,Potential,7
,PhD,Married,3,7,2,8,12,603,0,9,Loyal,12
69209.0,Graduation,Married,0,5,3,6,2,1782,0,4,Champions,13
31928.0,Graduation,Together,1,3,0,4,2,72,0,7,Potential,9
74004.0,PhD,Single,0,4,6,4,1,1658,1,3,Champions,13
30390.0,2n Cycle,Married,0,2,0,3,1,80,0,6,Potential,8
21355.0,Graduation,Married,1,2,1,2,2,68,1,6,Potential,8
26304.0,Graduation,Married,1,1,0,2,1,16,0,7,Potential,7
85710.0,2n Cycle,Married,0,6,9,10,1,1062,0,2,Champions,14
102692.0,Graduation,Divorced,0,6,9,13,1,1112,1,2,Champions,14
58350.0,Graduation,Single,1,8,3,12,4,1001,0,6,Champions,14
7500.0,Graduation,Single,2,2,1,3,4,57,0,6,Potential,9
18890.0,Master,Single,0,0,1,2,1,35,1,6,Potential,7
20425.0,Basic,Married,1,2,0,3,2,57,0,7,Potential,8
20425.0,Basic,Married,1,2,0,3,2,57,0,7,Potential,8
41437.0,PhD,Divorced,2,1,0,3,1,32,0,7,Potential,7
49912.0,Master,Together,1,10,5,7,4,874,1,8,Champions,14
49912.0,Master,Together,1,10,5,7,4,874,1,8,Champions,14
79823.0,Graduation,Married,1,6,9,7,1,1518,0,2,Champions,15
85683.0,Graduation,Divorced,0,2,4,10,1,1789,1,1,Champions,14
47025.0,PhD,Divorced,2,1,0,2,1,20,0,7,Potential,7
68397.0,PhD,Married,1,6,9,5,1,1416,0,3,Champions,14
38175.0,PhD,Married,1,3,1,4,3,153,0,7,Potential,9
46423.0,Master,Single,2,2,0,4,3,92,0,7,Potential,9
46423.0,Master,Single,2,2,0,4,3,92,0,7,Potential,9
30560.0,Master,Together,1,1,0,3,1,31,0,7,Potential,7
30560.0,Master,Together,1,1,0,3,1,31,0,7,Potential,7
60152.0,Graduation,Single,1,6,4,12,1,943,0,3,Champions,14
29672.0,Graduation,Together,2,0,0,3,1,25,0,6,Potential,7
29672.0,Graduation,Together,2,0,0,3,1,25,0,6,Potential,7
70321.0,Graduation,Together,0,6,5,13,1,1376,1,4,Champions,15
56181.0,Graduation,Married,1,4,2,7,1,393,0,4,Loyal,11
24279.0,Basic,Married,0,4,1,3,1,263,0,8,Loyal,10
68462.0,PhD,Married,0,3,3,8,1,1670,0,1,Champions,13
55424.0,PhD,Married,1,7,5,9,4,877,1,6,Champions,14
49094.0,Graduation,Married,1,6,3,6,5,502,0,6,Loyal,11
59184.0,2n Cycle,Widow,1,6,6,12,3,1072,0,5,Champions,14
67430.0,Graduation,Together,0,11,5,12,1,1364,0,6,Champions,15
30522.0,Master,Married,1,1,2,9,5,326,0,2,Loyal,11
31878.0,2n Cycle,Single,1,1,0,4,1,70,0,3,Potential,8
83528.0,Graduation,Single,0,4,10,8,1,1650,1,1,Champions,15
90300.0,Graduation,Together,0,5,6,8,0,1738,0,1,Champions,14
68092.0,Master,Single,0,2,6,10,2,1281,0,5,Champions,14
53761.0,Master,Married,2,4,4,3,6,325,0,5,Loyal,11
52845.0,Graduation,Married,1,8,8,6,3,936,0,6,Champions,14
24027.0,Graduation,Married,1,2,0,3,2,48,0,8,Potential,7
7500.0,2n Cycle,Together,1,3,2,2,4,53,0,7,Potential,8
42586.0,Graduation,Together,2,4,1,6,5,252,1,8,Loyal,11
42586.0,Graduation,Together,2,4,1,6,5,252,1,8,Loyal,11
9722.0,Basic,Together,1,3,1,3,4,103,1,8,Potential,9
86836.0,PhD,Married,0,6,10,6,1,557,1,5,Champions,13
30467.0,Graduation,Married,1,1,0,2,1,24,0,7,Potential,7
54549.0,PhD,Married,1,5,1,4,2,233,0,7,Loyal,11
19444.0,Graduation,Together,1,4,1,2,3,54,1,7,Potential,8
69245.0,Master,Together,1,6,5,10,2,843,0,3,Champions,14
72968.0,PhD,Divorced,0,5,5,8,1,1958,1,3,Champions,14
48686.0,Graduation,Married,3,1,0,2,1,20,0,8,Potential,7
73687.0,Graduation,Married,0,3,9,9,1,1627,1,2,Champions,15
82716.0,PhD,Single,0,6,8,13,1,1167,0,2,Champions,14
35523.0,2n Cycle,Married,1,3,0,3,2,66,0,7,Potential,9
60554.0,PhD,Divorced,1,8,4,9,2,811,0,6,Champions,14
64090.0,Graduation,Together,1,6,9,4,1,797,1,5,Champions,13
61559.0,Graduation,Single,1,4,2,10,1,530,0,3,Loyal,12
71670.0,PhD,Widow,0,5,3,6,1,1766,1,6,Champions,13
67680.0,PhD,Widow,1,7,3,8,1,606,0,5,Loyal,12
54386.0,Graduation,Married,1,3,2,10,2,470,0,3,Loyal,11
64108.0,PhD,Single,1,6,9,11,4,1099,0,5,Champions,14
69702.0,PhD,Together,1,7,7,10,2,1039,0,4,Champions,14
47958.0,Graduation,Single,1,6,3,5,2,407,0,5,Loyal,11
67716.0,Graduation,Married,1,7,4,13,4,1016,0,5,Champions,14
34600.0,Graduation,Together,2,5,2,5,5,318,1,8,Loyal,11
34600.0,Graduation,Together,2,5,2,5,5,318,1,8,Loyal,11
48752.0,Graduation,Married,2,6,1,5,5,316,1,9,Loyal,11
15716.0,2n Cycle,Married,1,3,0,4,3,92,0,8,Potential,9
46610.0,PhD,Divorced,2,4,1,6,6,302,1,6,Loyal,11
74985.0,Graduation,Married,0,3,6,7,1,1869,0,2,Champions,14
45576.0,PhD,Single,0,3,1,3,1,145,1,8,Potential,9
113734.0,PhD,Single,0,27,0,0,0,277,0,1,Champions,13
57100.0,Graduation,Single,1,3,2,7,2,311,0,3,Loyal,11
24434.0,Graduation,Married,2,2,1,2,2,50,0,7,Potential,7
37126.0,PhD,Married,1,1,2,2,1,72,1,6,Potential,8
45160.0,Graduation,Single,2,1,0,2,1,21,0,7,Potential,7
33178.0,Graduation,Together,1,1,0,3,1,49,0,4,Potential,7
64866.0,Master,Widow,1,7,3,7,4,556,0,5,Loyal,12
34176.0,Master,Together,1,1,0,3,1,28,0,3,Potential,7
50014.0,Master,Single,1,4,1,8,2,396,0,5,Loyal,11
92344.0,Graduation,Married,0,5,10,5,0,1899,0,1,Champions,14
55282.0,Master,Divorced,1,3,1,6,1,235,0,4,Loyal,11
48799.0,PhD,Divorced,1,3,2,7,3,331,0,3,Loyal,11
84169.0,PhD,Married,0,7,6,6,1,1919,1,3,Champions,14
84169.0,PhD,Married,0,7,6,6,1,1919,1,3,Champions,14
39763.0,Master,Single,1,5,1,2,2,167,1,9,Potential,9
74165.0,PhD,Divorced,0,5,4,10,1,1293,0,2,Champions,14
42720.0,Graduation,Single,2,7,3,7,8,654,1,8,Champions,13
65275.0,Graduation,Married,0,4,3,13,1,746,0,2,Champions,13
36443.0,Graduation,Married,2,3,1,3,4,138,0,8,Potential,9
43776.0,Master,Together,2,5,2,4,6,275,1,8,Loyal,11
56046.0,Graduation,Together,0,10,1,8,2,692,1,8,Champions,13
65148.0,Graduation,Married,1,6,6,7,2,1115,0,4,Champions,13
49431.0,Graduation,Divorced,1,7,1,5,2,365,0,8,Loyal,11
32583.0,PhD,Together,2,1,0,2,1,9,0,7,Potential,7
16653.0,Master,Single,1,2,1,3,3,69,1,6,Potential,9
26850.0,2n Cycle,Together,2,2,1,4,4,63,0,4,Potential,9
51287.0,Graduation,Married,2,4,1,3,3,182,0,7,Potential,9
43050.0,2n Cycle,Married,1,2,0,4,2,76,0,5,Potential,9
73448.0,Graduation,Married,0,7,2,9,1,725,0,4,Champions,13
17256.0,Basic,Married,1,2,1,2,2,62,0,8,Potential,8
86429.0,Graduation,Single,0,7,4,7,0,1449,1,2,Champions,14
33569.0,PhD,Married,1,1,1,2,1,63,1,8,Potential,8
25130.0,2n Cycle,Together,1,2,0,3,2,50,0,7,Potential,7
62998.0,Graduation,Married,1,5,4,5,5,463,0,5,Loyal,11
26907.0,2n Cycle,Together,2,1,0,3,2,22,0,7,Potential,7
26907.0,2n Cycle,Together,2,1,0,3,2,22,0,7,Potential,7
45579.0,PhD,Married,1,4,1,4,1,183,0,6,Potential,9
47320.0,Graduation,Together,1,5,1,8,6,414,0,6,Loyal,11
70179.0,PhD,Divorced,1,7,3,13,3,1034,0,5,Champions,14
70179.0,PhD,Divorced,1,7,3,13,3,1034,0,5,Champions,14
28072.0,Master,Married,1,1,0,3,1,47,0,7,Potential,7
50501.0,Graduation,Married,2,5,4,4,7,500,1,6,Loyal,11
58917.0,Graduation,Together,3,4,1,6,5,282,0,5,Loyal,11
69372.0,Graduation,Together,0,10,4,6,1,1381,1,4,Champions,14
35178.0,Master,Married,1,1,1,2,1,59,1,7,Potential,8
35178.0,Master,Married,1,1,1,2,1,59,1,7,Potential,8
75693.0,Graduation,Divorced,0,11,4,6,1,1442,1,4,Champions,15
69109.0,Graduation,Married,0,6,6,7,1,1555,1,4,Champions,14
69109.0,Graduation,Married,0,6,6,7,1,1555,1,4,Champions,14
80134.0,Graduation,Together,0,2,7,11,1,1378,0,5,Champions,14
64713.0,Graduation,Divorced,1,5,5,7,2,602,1,4,Loyal,12
41411.0,Graduation,Divorced,0,2,1,4,1,139,0,6,Potential,9
,Graduation,Married,1,1,0,2,1,19,0,7,Potential,7
55521.0,PhD,Single,3,6,3,6,9,446,1,7,Loyal,11
43795.0,Master,Together,1,7,3,4,3,492,1,7,Loyal,11
22070.0,Graduation,Together,1,2,2,2,2,67,0,6,Potential,9
36408.0,Master,Married,2,1,0,2,1,22,0,6,Potential,7
34026.0,Graduation,Together,2,2,1,3,3,76,0,5,Potential,9
34026.0,Graduation,Together,2,2,1,3,3,76,0,5,Potential,9
46049.0,Graduation,Married,2,5,2,9,10,515,1,7,Loyal,12
35641.0,Master,Married,1,3,1,4,2,178,1,7,Potential,9
32414.0,2n Cycle,Together,0,1,0,3,1,52,0,7,Potential,7
59821.0,PhD,Married,1,11,2,7,6,734,0,8,Champions,13
34968.0,Graduation,Married,1,3,2,5,7,221,0,7,Loyal,11
56320.0,PhD,Married,1,5,4,9,3,702,0,4,Champions,13
70091.0,Master,Married,1,5,2,10,2,1161,0,8,Champions,13
46097.0,Graduation,Together,1,3,1,6,5,241,0,4,Loyal,11
41003.0,PhD,Divorced,0,6,2,8,1,601,0,6,Loyal,12
44911.0,Graduation,Together,1,4,1,4,3,215,0,7,Loyal,10
33249.0,Graduation,Single,1,2,1,3,2,112,0,6,Potential,9
33249.0,Graduation,Single,1,2,1,3,2,112,0,6,Potential,9
42873.0,PhD,Divorced,2,6,1,4,4,269,0,8,Loyal,11
51039.0,PhD,Married,2,6,2,4,2,417,0,7,Loyal,11
78952.0,PhD,Together,1,2,5,12,2,2092,0,6,Champions,14
29435.0,Master,Divorced,2,3,2,2,4,180,1,9,Potential,9
79865.0,Graduation,Divorced,1,5,10,5,1,792,0,1,Champions,13
34176.0,Graduation,Alone,1,3,0,4,4,89,0,6,Potential,9
34176.0,Graduation,Single,1,3,0,4,4,89,0,6,Potential,9
65968.0,PhD,Together,1,5,4,7,2,495,0,3,Loyal,12
86424.0,Master,Single,0,6,9,12,1,1226,0,1,Champions,15
67272.0,Graduation,Divorced,1,6,2,12,3,733,0,5,Champions,13
78499.0,Graduation,Single,0,11,3,4,1,1334,1,4,Champions,14
77044.0,Graduation,Together,1,7,11,11,2,1065,0,4,Champions,14
70515.0,Graduation,Single,0,6,6,4,1,1258,1,2,Champions,14
17459.0,Master,Together,1,3,1,2,3,69,1,7,Potential,9
80336.0,PhD,Married,0,2,9,13,1,1052,0,1,Champions,14
15759.0,Graduation,Married,0,1,0,2,1,17,0,7,Potential,7
26326.0,2n Cycle,Together,0,0,0,3,1,18,0,3,Potential,7
62061.0,Graduation,Together,1,10,4,7,3,800,0,6,Champions,14
5305.0,Graduation,Married,1,1,0,0,0,32,0,13,Potential,7
75777.0,Master,Single,0,3,6,11,1,1438,1,1,Champions,14
75777.0,Master,Single,0,3,6,11,1,1438,1,1,Champions,14
71499.0,Master,Together,1,8,3,13,2,795,0,4,Champions,14
31626.0,PhD,Single,1,2,1,2,1,86,1,7,Potential,8
42670.0,Master,Together,0,4,2,4,1,241,0,4,Loyal,11
83917.0,Graduation,Single,0,6,7,7,1,1587,1,3,Champions,14
41021.0,Master,Together,1,2,0,3,2,64,1,6,Potential,8
79456.0,Graduation,Married,0,5,6,4,1,1401,1,3,Champions,13
78789.0,Master,Divorced,0,4,6,5,1,1754,1,2,Champions,13
50870.0,PhD,Married,1,2,0,3,1,63,0,5,Potential,8
35876.0,Master,Married,0,3,1,3,1,129,0,6,Potential,9
23539.0,Graduation,Married,0,2,0,4,1,81,0,6,Potential,9
32557.0,Master,Single,1,2,1,3,3,80,1,5,Potential,9
62466.0,2n Cycle,Married,1,6,3,12,5,889,0,4,Champions,14
62466.0,2n Cycle,Married,1,6,3,12,5,889,0,4,Champions,14
54198.0,Graduation,Married,2,3,1,6,6,235,0,4,Loyal,11
82170.0,PhD,Married,0,5,6,7,1,1908,0,2,Champions,14
61798.0,PhD,Single,0,4,2,9,1,463,0,4,Loyal,11
15253.0,Basic,Single,1,1,0,3,2,29,0,7,Potential,7
78285.0,Master,Married,0,6,4,10,1,1427,0,3,Champions,14
62535.0,Graduation,Single,1,3,2,8,1,398,0,3,Loyal,11
27190.0,Basic,Together,1,1,0,2,1,18,1,8,Potential,7
48985.0,2n Cycle,Married,1,1,1,3,1,75,0,3,Potential,8
72940.0,Graduation,Married,0,3,3,6,1,981,0,1,Loyal,12
36145.0,2n Cycle,Married,1,4,1,3,4,172,1,9,Potential,9
157146.0,Graduation,Together,0,0,28,0,0,1730,0,1,Champions,15
81843.0,Master,Married,0,5,9,12,1,1643,0,3,Champions,15
41883.0,Graduation,Together,1,4,2,3,3,312,0,7,Loyal,11
45759.0,PhD,Married,2,2,0,3,2,68,0,7,Potential,8
45759.0,PhD,Married,2,2,0,3,2,68,0,7,Potential,8
78394.0,Graduation,Together,0,4,6,5,1,1428,1,2,Champions,13
30279.0,Graduation,Single,1,1,0,3,1,37,0,8,Potential,7
30279.0,Graduation,Single,1,1,0,3,1,37,0,8,Potential,7
31880.0,Graduation,Widow,1,1,0,2,1,15,0,8,Potential,7
60208.0,Graduation,Widow,2,8,3,7,11,656,1,7,Champions,13
78687.0,Graduation,Together,0,4,6,8,1,2130,1,2,Champions,14
37401.0,PhD,Married,1,2,0,3,2,48,0,7,Potential,7
37401.0,PhD,Married,1,2,0,3,2,48,0,7,Potential,7
75315.0,Graduation,Together,1,5,4,12,2,841,0,2,Champions,14
69263.0,Graduation,Single,1,9,1,7,1,568,0,6,Loyal,12
78569.0,Graduation,Married,0,4,6,4,1,1736,1,1,Champions,13
57705.0,PhD,Married,1,8,1,6,3,486,0,6,Loyal,11
74805.0,2n Cycle,Together,1,4,7,10,5,820,0,2,Champions,14
66426.0,PhD,Together,1,3,5,10,2,1377,0,6,Champions,14
51529.0,Master,Widow,1,9,1,5,2,467,0,8,Loyal,11
18100.0,Graduation,Married,0,0,0,3,1,14,0,5,Potential,7
59601.0,2n Cycle,Divorced,1,2,2,7,4,797,0,8,Loyal,12
20981.0,2n Cycle,Together,0,3,1,2,1,73,1,8,Potential,9
74068.0,Graduation,Married,0,4,10,9,1,1581,0,2,Champions,15
36790.0,Graduation,Married,0,2,1,2,1,66,1,9,Potential,8
18793.0,Graduation,Married,1,2,0,4,3,77,0,8,Potential,9
27421.0,Graduation,Widow,0,4,1,6,3,324,0,7,Loyal,11
30675.0,Graduation,Married,1,1,0,3,1,62,0,8,Potential,8
83145.0,Graduation,Together,0,5,9,11,1,1833,1,2,Champions,15
34053.0,Master,Together,1,3,0,3,1,103,0,8,Potential,9
31788.0,Master,Single,1,3,0,4,3,60,0,5,Potential,9
45894.0,2n Cycle,Married,2,1,0,3,1,51,0,5,Potential,7
41986.0,Graduation,Divorced,1,3,0,4,3,63,0,4,Potential,9
42769.0,PhD,Married,1,1,1,4,2,88,0,4,Potential,9
58582.0,2n Cycle,Together,1,9,2,9,2,763,0,5,Champions,13
49096.0,Graduation,Married,2,4,1,4,4,187,0,7,Loyal,10
76412.0,PhD,Single,0,5,4,8,1,1808,1,3,Champions,14
18929.0,Graduation,Married,0,1,0,4,1,85,0,6,Potential,8
18929.0,Graduation,Married,0,1,0,4,1,85,0,6,Potential,8
18929.0,Graduation,Married,0,1,0,4,1,85,0,6,Potential,8
21888.0,Master,Single,1,5,1,2,4,213,1,10,Loyal,10
41580.0,Graduation,Together,2,2,1,3,3,92,0,5,Potential,9
31605.0,PhD,Married,1,2,1,4,2,125,0,7,Potential,9
25509.0,PhD,Divorced,1,3,0,3,3,101,1,9,Potential,9
25509.0,PhD,Divorced,1,3,0,3,3,101,1,9,Potential,9
33051.0,Master,Widow,0,9,1,8,3,835,1,9,Champions,13
28764.0,PhD,Together,2,1,0,2,1,12,0,8,Potential,7
32146.0,2n Cycle,Married,1,2,0,4,2,66,0,6,Potential,9
22148.0,Graduation,Single,0,1,0,3,1,49,0,7,Potential,7
36781.0,Graduation,Married,1,2,1,2,1,63,1,8,Potential,8
54197.0,Master,Married,1,1,3,6,2,237,0,1,Loyal,11
93790.0,Graduation,Single,0,6,7,12,0,2349,1,2,Champions,15
24762.0,Graduation,Single,1,3,1,2,3,86,1,8,Potential,9
30477.0,Master,Married,1,1,1,3,1,66,0,6,Potential,8
11448.0,2n Cycle,Divorced,0,1,0,2,1,14,0,6,Potential,7
70844.0,Graduation,Divorced,2,6,1,5,5,294,0,7,Loyal,11
30828.0,Graduation,Single,1,1,1,4,2,56,0,3,Potential,9
62513.0,Master,Together,1,6,4,10,2,716,0,6,Champions,13
27733.0,2n Cycle,Married,1,2,0,3,2,57,0,7,Potential,8
39435.0,PhD,Together,1,3,1,2,1,102,0,7,Potential,9
75345.0,Master,Single,0,5,8,6,1,2087,1,3,Champions,14
20491.0,2n Cycle,Together,0,0,1,2,1,30,0,7,Potential,7
36715.0,Graduation,Married,1,7,2,4,6,357,1,9,Loyal,11
71706.0,Graduation,Together,1,9,5,7,4,1443,0,5,Champions,15
69063.0,PhD,Married,1,5,3,5,1,928,0,3,Loyal,12
24645.0,Graduation,Married,1,1,0,2,1,17,0,8,Potential,7
